Area,Total Population,Age Under 5,Age 5-9,Age 10-14,Age 15-19,Age 20-24,Age 25-29,Age 30-34,Age 35-39,Age 40-44,Age 45-49,Age 50-54,Age 55-59,Age 60-64,Age 65-69,Age 70-74,Age 75-79,Age 80-84,Age 85 and Over,Median Age,Sex Ratio (Males per 100 Females),Civilian Employed Total,"Occ. Management, Business, Science, Arts",Occ. Services,Occ. Sales and Office,"Occ. Natural Resources, Construction, Maintenance","Occ. Production, Transportation, Material Moving",Median HH Income,Mean HH Income
"Washington, NC Micro Area",44597,2111,2318,2559,2448,2347,2228,2178,2367,2588,2651,2736,3147,3789,3182,3561,2296,1060,1031,47.1,90.6,19343,6209,3353,4098,2566,3117,57997,77396
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",6263796,380023,392845,415006,396598,375582,434549,461605,474208,449899,417824,421499,403013,370755,291207,231736,154932,98255,94260,37.9,96.8,3338015,1900947,483579,521678,213573,218238,123896,162905
"Washington Court House, OH Micro Area",28880,1618,1862,2009,1929,1674,1856,1727,1469,1824,1813,1998,1977,1949,1474,1716,741,747,497,40.8,97.7,12944,3512,2385,2207,1503,3337,60047,76109
"Waterbury-Shelton, CT Metro Area",452303,22997,25165,26570,27461,26492,28820,29805,27896,28991,27098,30823,32760,32769,26654,22397,14608,9864,11133,41.9,95.6,228532,96400,40115,44644,18289,29084,86365,113511
"Waterloo-Cedar Falls, IA Metro Area",168163,10153,10649,10208,12171,16720,10746,9821,10871,9639,8604,8698,9055,10526,9694,7861,5417,3750,3580,36.6,97.4,85555,31850,14152,16168,7165,16220,68916,91443
"Watertown, SD Micro Area",28556,1564,1839,2032,1962,1661,1708,1747,1788,1810,1519,1637,1828,2031,1891,1219,875,750,695,39.9,103.1,15260,5286,2076,3360,1500,3038,65080,84357
"Watertown-Fort Atkinson, WI Micro Area",85867,4104,4981,4792,6980,5444,4563,4883,5571,5350,5348,5788,6155,6472,5054,4440,2750,1852,1340,41.3,101.4,46481,15801,7782,8180,5111,9607,80604,97779
"Watertown-Fort Drum, NY Metro Area",116130,8543,8211,7020,6981,10733,10729,8701,7674,6348,5189,6063,6672,6268,5552,4576,2942,2063,1865,33.2,111.0,44454,15613,8947,10135,4403,5356,64978,84530
"Wausau, WI Metro Area",138067,7770,8715,9081,8543,7401,8198,8263,8702,8998,8027,8839,9615,10178,9007,6047,4168,3084,3431,41.2,101.9,72092,26665,10749,14242,6473,13963,76185,95540
"Waycross, GA Micro Area",55954,3377,3861,4235,3654,3099,3871,3363,3435,3498,3243,3859,3182,3744,3007,2530,1590,1361,1045,39.0,101.8,22006,6483,3494,4764,2946,4319,49037,67017
"Waynesville, NC Micro Area",62432,2630,3388,2993,3253,2909,3473,3916,2800,3898,3549,4275,4685,4836,5224,3903,2978,1993,1729,47.8,95.3,28279,10554,5698,5481,2420,4126,61001,79327
"Weatherford, OK Micro Area",39189,2416,2639,2973,2875,4189,2265,2178,2764,2326,1860,1875,2452,2268,2102,1447,1085,717,758,35.1,98.0,18832,6573,3058,4103,2507,2591,59108,80501
"Weirton-Steubenville, WV-OH Metro Area",115566,5409,5739,6537,6997,7373,6300,6510,5682,6549,7006,7635,7796,9386,8697,7274,4036,3442,3198,45.6,96.4,50677,16337,9705,10574,5447,8614,57149,73735
"Wenatchee-East Wenatchee, WA Metro Area",123251,7175,7621,9215,7831,7033,7451,7859,7780,7746,6722,6806,7987,7852,7953,6461,4121,2582,3056,39.8,103.5,57840,19184,10342,10296,10495,7523,79007,107252
"West Plains, MO Micro Area",40168,2417,2776,2800,2607,2224,2199,2409,2623,2043,2361,2450,2219,3063,2695,1888,1328,1134,932,40.1,95.1,16297,5674,2425,3506,1750,2942,49814,64950
"Wheeling, WV-OH Metro Area",138015,6536,7063,7897,8422,7720,7799,8199,8539,8018,8319,8791,9649,10599,9837,8572,4770,3634,3651,44.1,102.6,60384,19756,11373,12403,6686,10166,58705,80286
"Whitewater-Elkhorn, WI Micro Area",105447,4787,5686,6297,7873,9650,5630,5346,6105,5611,5924,6739,7407,8118,7020,5454,3249,2308,2243,41.1,101.1,55282,19273,9470,10872,5459,10208,77359,104608
"Wichita, KS Metro Area",648935,40709,43925,49065,45759,43279,44409,43285,43045,40056,36060,36359,38314,41450,35164,26987,16988,11210,12871,36.6,99.2,310387,118685,50071,62610,31894,47127,68930,91559
"Wichita Falls, TX Metro Area",148978,8948,9570,9607,11338,11766,10648,10410,9368,9023,8050,7892,8878,9699,7905,6126,4170,2901,2679,36.4,106.7,67558,23844,12513,14116,6419,10666,63618,85224
"Wildwood-The Villages, FL Metro Area",137536,2534,2928,2598,2758,2904,3488,4197,4781,3619,3927,5021,8624,10694,16715,25595,18803,11467,6883,68.4,98.5,30456,10383,5522,7808,3246,3497,73297,93594
"Williamsport, PA Metro Area",113570,5905,7165,6248,7426,6839,6748,7522,6988,6410,6224,7137,7951,8053,7580,5976,3910,2446,3042,41.3,97.0,52630,18726,9239,11351,4764,8550,64412,83918
"Williston, ND Micro Area",39368,3617,3441,3303,2180,2172,3142,3443,3546,3077,1832,1983,1753,1993,1597,817,458,546,468,32.3,113.0,20121,6612,2877,3777,3274,3581,90224,119610
"Willmar, MN Micro Area",43757,2895,2863,3188,2703,2515,2846,2377,2602,2541,2321,2379,2536,3254,2874,2189,1464,993,1217,39.8,102.4,22181,8139,3566,4130,2476,3870,75097,93123
"Wilmington, NC Metro Area",440578,19618,20481,23514,24483,29391,25047,25103,27062,24989,25073,26807,30072,35732,33991,31386,19295,9810,8724,45.1,93.3,206784,87861,35664,43265,20244,19750,73687,100847
"Wilmington, OH Micro Area",42014,2454,2633,2833,2946,2891,2329,2399,1973,2987,2371,2713,2981,2896,2473,2132,1165,860,978,41.0,98.4,19901,6176,3409,3777,2118,4421,68125,84570
"Wilson, NC Micro Area",78648,4639,4367,5814,5056,4651,4820,4685,4520,4931,4623,4939,5753,4912,5194,3915,2728,1646,1455,40.7,91.3,33490,12359,4929,6204,3300,6698,51381,71763
"Winchester, TN Micro Area",43478,2192,2207,2533,3124,3449,2413,2362,2578,2032,2684,2791,3036,3165,2874,2437,1727,958,916,42.7,97.3,19970,6767,3223,3827,2311,3842,61553,80473
"Winchester, VA-WV Metro Area",144676,8132,8176,9793,9669,7710,8663,8816,9505,8742,8580,9627,9804,10129,8671,7213,5349,3019,3078,40.9,101.7,69078,27044,10839,13487,7588,10120,82413,104645
"Winnemucca, NV Micro Area",17299,1167,1299,1296,1065,1097,1047,1215,825,1212,1094,1151,808,1243,1116,757,516,204,187,37.6,108.0,7969,2621,1425,1206,1853,864,79946,95024
"Winona, MN Micro Area",49705,2262,2432,2639,4572,6594,3032,2748,2704,2517,2285,2623,2998,3247,2922,2403,1541,977,1209,36.1,98.8,27679,10349,4538,5138,2413,5241,70198,89289
"Winston-Salem, NC Metro Area",683637,37272,39896,45755,46014,43008,42091,42709,39767,40888,41738,46827,47663,46610,39801,33325,23184,13602,13487,40.6,93.4,316250,120104,50014,64962,30102,51068,64282,87020
"Wisconsin Rapids-Marshfield, WI Micro Area",74039,4013,4332,4720,4394,3629,4157,4283,4407,4099,4042,4647,5611,5857,4942,4133,2831,1552,2390,43.9,98.8,35388,11604,6140,6351,4144,7149,66417,86752
"Woodward, OK Micro Area",20260,1279,1471,1403,1298,1113,1460,1392,1720,1124,1316,1084,1057,1266,804,1008,543,566,356,36.5,108.0,9750,3131,1675,1858,1351,1735,65060,86804
"Wooster, OH Micro Area",116618,7283,7903,7950,8738,7909,6648,6799,6393,6777,6360,6833,7609,7723,6540,6277,3713,2725,2438,38.9,99.4,55008,17950,7747,10717,6242,12352,71769,88657
"Worcester, MA Metro Area",861664,44659,46913,54289,57936,55458,54069,57747,56672,53322,53875,60055,62511,61442,47412,38913,23388,16135,16868,40.3,98.5,443268,203142,70868,82597,36293,50368,93561,122104
"Worthington, MN Micro Area",22067,1853,1738,1683,1720,1332,1277,1161,1306,1330,1135,1237,1285,1198,1134,1025,575,546,532,36.3,106.7,10243,2946,1732,1706,1113,2746,65509,83658
"Yakima, WA Metro Area",256605,18822,20541,22827,20227,17088,17719,16943,15651,15368,13919,13589,13716,13573,12084,9705,6372,3804,4657,33.2,100.6,110162,31250,18697,19293,22576,18346,68015,85476
"Yankton, SD Micro Area",23379,1222,1265,1612,1369,1565,1259,1298,1405,1526,1302,1486,1577,1695,1544,1214,807,661,572,42.2,108.9,11668,4386,1942,2064,813,2463,73855,94056
"York-Hanover, PA Metro Area",459312,25011,26687,30867,29115,25469,27261,29327,30251,27164,27820,31104,31795,32789,27761,22236,14314,10097,10244,40.9,98.8,232712,86206,35564,46906,20756,43280,82238,101502
"Youngstown-Warren, OH Metro Area",428430,22669,23042,25795,25178,24788,26087,25159,23543,24321,24429,26955,28047,34052,30579,25092,15904,10911,11879,43.6,96.3,189481,61854,35666,40370,15931,35660,55357,75108
"Yuba City, CA Metro Area",182050,12316,14650,12840,12644,11394,13033,13387,13353,10824,9796,9997,9804,11196,9209,6781,4789,3084,2953,35.2,101.9,74658,23589,14488,14691,11276,10614,74762,97969
"Yuma, AZ Metro Area",207685,14079,13813,14901,14592,15631,14599,14317,11607,11900,9945,9967,10133,10015,11174,9670,9944,6659,4739,35.8,106.5,75751,21143,16038,15047,11840,11683,60417,77603
"Zanesville, OH Micro Area",86382,5088,5316,5846,5392,5520,5529,5172,4710,5296,5197,5717,5888,5917,5150,4338,3005,1538,1763,40.5,95.0,39014,13002,6211,7649,4373,7779,59203,77324
"Zapata, TX Micro Area",13855,1094,1201,1409,1206,1001,876,835,1042,688,746,710,635,537,574,437,380,202,282,31.5,99.8,4727,1225,1089,795,957,661,36527,56798
